title,year,kind,KMRB,genre,country,cast,director,runtime(min),provider
셜록 시즌3(Sherlock),2014,TV,12세이상관람가,"['드라마', '코미디', '스릴러', '범죄']",['영국'],"['베네딕트 컴버배치 ', '마틴 프리먼 ', '루퍼트 그레이브즈 ', '우나 스텁스']","['스티븐 모팻', '마크 게이티스']",,['넷플릭스']
"등등아아적청춘(Wait, My Youth)",2019,TV,15세이상관람가,['드라마'],['중국'],"['려가기', '조혁흠']",['친위안 쉔'],,"['넷플릭스', '웨이브', '티빙', '왓챠']"
멜로가 체질(Be Melodramatic),2019,TV,15세이상관람가,['드라마'],['한국'],"['천우희', '전여빈', '한지은', '안재홍', '공명', '윤지온']","['김혜영', '이병헌']",,"['넷플릭스', '티빙', '디즈니+']"
별에서 온 그대(My Love From the Star),2013,TV,15세이상관람가,"['드라마', '코미디', '판타지', 'SF']",['한국'],"['전지현', '김수현', '박해진', '유인나', '신성록', '나영희', '엄효섭']",['장태유'],,"['넷플릭스', '웨이브', '티빙', '왓챠', '쿠팡플레이', 'seezn']"
스트릿 우먼 파이터(),2021,TV,15세이상관람가,['예능'],['한국'],"['강다니엘', '보아', '태용', '예리', '리정', '지효', '여진', '이삭']",[],,['티빙']
구해줘 시즌 1(SAVE ME),2017,TV,15세이상관람가,"['스릴러', '범죄']",['한국'],"['서예지', '조성하', '옥택연', '우도환', '손병호']",['김성수'],,"['넷플릭스', '티빙']"
왕좌의 게임 시즌 8(Game of Thrones),2019,TV,청소년관람불가,"['드라마', '액션', '어드벤처(모험)']","['미국', '영국']","['키트 해링턴 ', '에밀리아 클라크 ', '피터 딘클리지 ', '니콜라이 코스터-왈도', '레나 헤디', '이언 글렌 ']","['데이비드 너터', '미구엘 사포크닉']",,"['웨이브', '왓챠']"
종이의 집 시즌 5(Money Heist),2021,TV,청소년관람불가,"['스릴러', '범죄']",['스페인'],"['알바로 모르테', '우르술라 코르베로', '이치아르 이투뇨', '페드로 알론소', '미겔 에란', '제이미 로렌테', '에스테르 아세보']",['헤수스 콜메나르'],,['넷플릭스']
왕좌의 게임 시즌 7(Game of Thrones),2017,TV,청소년관람불가,"['드라마', '액션', '어드벤처(모험)']","['미국', '영국']","['키트 해링턴 ', '에밀리아 클라크 ', '피터 딘클리지 ', '니콜라이 코스터-왈도']","['앨런 테일러', '마크 미로드', '제레미 포데스와', '맷 샤크먼']",,"['웨이브', '왓챠']"
비밀의 숲(Stranger),2018,TV,15세이상관람가,"['드라마', '스릴러', '범죄']",['한국'],"['조승우', '배두나', '이준혁', '유재명', '신혜선', '박진우']","['안길호', '유제원']",,"['넷플릭스', '티빙']"
로스쿨(Law School),2021,TV,15세이상관람가,['드라마'],['한국'],"['김명민', '김범', '류혜영', '이정은', '박혁권', '안내상', '정원중']",['김석윤'],,"['넷플릭스', '티빙', 'seezn']"
연모(The King’s Affection),2021,TV,15세이상관람가,['드라마'],['한국'],"['박은빈', '로운', '남윤수', '배윤경', '최병찬', '정채연']","['송현욱', '이현석']",,"['넷플릭스', '웨이브', 'seezn']"
귀멸의 칼날: 무한열차편(Demon Slayer: Kimetsu no Yaiba Mugen Train),2021,TV,청소년관람불가,"['액션', '애니메이션']",['일본'],"['히노 사토시', '하나에 나츠키', '키토 아카리', '시모노 히로', '마츠오카 요시츠구', '히라카와 다이스케', '이시다 아키라']",['소토자키 하루오'],,"['웨이브', '티빙', '왓챠', '라프텔']"
SNL 코리아 시즌 1(SNL KOREA),2021,TV,청소년관람불가,['예능'],['한국'],"['신동엽', '안영미', '정상훈', '김민교', '권혁수', '웬디', '김민수', '차청화']",[],,['쿠팡플레이']
나는 SOLO <나는 솔로>(),2021,TV,15세이상관람가,['예능'],['한국'],"['데프콘', '전효성', '이이경']","['남규홍', '나상원']",,"['넷플릭스', '웨이브', '티빙', '왓챠', '쿠팡플레이', 'seezn']"
프리즌 브레이크 시즌 5(Prison Break),2017,TV,15세이상관람가,"['드라마', '액션', '범죄']",['미국'],"['웬트워스 밀러', '도미닉 퍼셀', '사라 웨인 콜리스']",['폴 쉐어링'],,"['넷플릭스', '디즈니+']"
롱 베케이션(Long Vacation),1996,TV,15세이상관람가,"['드라마', '멜로/로맨스']",['일본'],"['기무라 타쿠야', '야마구치 토모코', '다케노우치 유타카', '마츠 다카코', '이나모리 이즈미', '료', '히로스에 료코']",['나가야마 코조'],,"['웨이브', '티빙', '왓챠']"
미스터 션샤인(Mr. Sunshine),2018,TV,15세이상관람가,['드라마'],['한국'],"['이병헌', '김태리', '유연석', '변요한', '김민정', '김갑수', '최무성']",['이응복'],,"['넷플릭스', '티빙']"
비밀의 숲 2(Stranger 2),2020,TV,15세이상관람가,['드라마'],['한국'],"['조승우', '배두나', '최무성', '김영재', '이준혁', '박성근', '박지연']",['박현석'],,"['넷플릭스', '티빙']"
달의 연인 : 보보경심 려( Moon Lovers: Scarlet Heart Ryeo),2016,TV,15세이상관람가,['드라마'],['한국'],"['이준기', '이지은', '강하늘', '홍종현', '남주혁', '백현', '지수']",['김규태'],,"['넷플릭스', '웨이브', '왓챠']"
또!오해영(Another Miss Oh),2016,TV,15세이상관람가,"['드라마', '코미디']",['한국'],"['문정혁', '서현진', '전혜빈', '이재윤', '김지석', '예지원']",['송현욱'],,"['넷플릭스', '티빙', '티빙']"
시크릿 가든(Secret Garden),2010,TV,15세이상관람가,['드라마'],['한국'],"['하지원', '현빈', '윤상현', '김사랑', '이필립', '이종석']","['신우철', '권혁찬']",,"['웨이브', '왓챠', '쿠팡플레이']"
고백부부(Go Back 夫婦),2017,TV,15세이상관람가,"['멜로/로맨스', '판타지']",['한국'],"['장나라', '손호준', '허정민', '한보름', '장기용', '고보결', '이이경']",['하병훈'],,"['웨이브', '왓챠', '쿠팡플레이']"
팔콘과 윈터 솔져(The Falcon and the Winter Soldier),2021,TV,15세이상관람가,"['드라마', '액션', '어드벤처(모험)']",['미국'],"['안소니 마키 ', '세바스찬 스탠 ', '다니엘 브륄', '에밀리 반캠프 ', '와이어트 러셀', '에린 켈리먼', '조르주 생 피에르']",['카리 스코글랜드'],,['디즈니+']
검은 태양(THE VEIL),2021,TV,15세이상관람가,"['드라마', '액션']",['한국'],"['남궁민', '박하선', '김지은', '김병기', '이경영', '장영남', '유오성']",['김성용'],,['웨이브 (무삭제)']
하백의 신부(Bride of the Water God),2017,TV,15세이상관람가,"['코미디', '멜로/로맨스', '판타지']",['한국'],"['신세경', '남주혁', '임주환', '정수정', '공명']",['김병수'],,"['넷플릭스', '티빙']"
Dr. 브레인(Dr. BRAIN),2021,TV,청소년관람불가,['드라마'],['한국'],"['이선균', '이유영', '박희순', '서지혜', '이재원']",['김지운'],,['Apple TV+']
